time,elevation,lat,lon
2012-09-03T09:29:32Z,27.9,42.9394490,-73.6515770
2012-09-03T09:29:58Z,27.8,42.9393520,-73.6515330
2012-09-03T09:30:02Z,27.7,42.9392980,-73.6513890
2012-09-03T09:30:08Z,27.6,42.9392080,-73.6513420
2012-09-03T09:30:12Z,27.6,42.9391470,-73.6514330
2012-09-03T09:30:15Z,27.6,42.9390650,-73.6515690
2012-09-03T09:30:17Z,27.6,42.9389910,-73.6516690
2012-09-03T09:30:19Z,27.5,42.9388990,-73.6517350
2012-09-03T09:30:21Z,27.5,42.9387960,-73.6517160
2012-09-03T09:30:23Z,26.3,42.9387100,-73.6516320
2012-09-03T09:30:25Z,24.8,42.9386300,-73.6515410
2012-09-03T09:30:27Z,24.8,42.9385550,-73.6514660
2012-09-03T09:30:29Z,24.8,42.9384870,-73.6513800
2012-09-03T09:30:32Z,24.8,42.9383970,-73.6512580
2012-09-03T09:30:35Z,24.8,42.9383000,-73.6511350
2012-09-03T09:30:37Z,24.8,42.9382320,-73.6510430
2012-09-03T09:30:39Z,24.8,42.9381630,-73.6509580
2012-09-03T09:30:41Z,24.8,42.9381000,-73.6508610
2012-09-03T09:30:43Z,24.8,42.9380390,-73.6507670
2012-09-03T09:30:46Z,24.8,42.9379590,-73.6506520
2012-09-03T09:30:49Z,24.8,42.9378660,-73.6505220
2012-09-03T09:30:51Z,24.8,42.9378010,-73.6504320
2012-09-03T09:30:53Z,24.8,42.9377380,-73.6503350
2012-09-03T09:30:56Z,24.8,42.9376420,-73.6502100
2012-09-03T09:30:58Z,24.8,42.9375640,-73.6501320
2012-09-03T09:31:00Z,24.8,42.9374850,-73.6500440
2012-09-03T09:31:02Z,25.2,42.9374080,-73.6499490
2012-09-03T09:31:04Z,26.4,42.9373180,-73.6498640
2012-09-03T09:31:06Z,27.4,42.9372300,-73.6497770
2012-09-03T09:31:08Z,27.4,42.9371570,-73.6496910
2012-09-03T09:31:11Z,25.8,42.9370720,-73.6495670
2012-09-03T09:31:14Z,24.8,42.9369920,-73.6494320
2012-09-03T09:31:16Z,24.8,42.9369250,-73.6493330
2012-09-03T09:31:18Z,25.1,42.9368480,-73.6492220
2012-09-03T09:31:20Z,26.9,42.9367600,-73.6491110
2012-09-03T09:31:22Z,27.7,42.9366720,-73.6489910
2012-09-03T09:31:24Z,27.7,42.9365820,-73.6488860
2012-09-03T09:31:26Z,27.6,42.9364900,-73.6487750
2012-09-03T09:31:28Z,27.4,42.9364070,-73.6486550
2012-09-03T09:31:30Z,27.3,42.9363130,-73.6485510
2012-09-03T09:31:32Z,27.2,42.9362240,-73.6484310
2012-09-03T09:31:34Z,27.2,42.9361250,-73.6483070
2012-09-03T09:31:36Z,27.2,42.9360210,-73.6481720
2012-09-03T09:31:38Z,27.2,42.9359510,-73.6480250
2012-09-03T09:31:40Z,27.2,42.9359690,-73.6478890
2012-09-03T09:31:42Z,27.2,42.9360180,-73.6477290
2012-09-03T09:31:44Z,27.2,42.9360860,-73.6475770
2012-09-03T09:31:46Z,27.2,42.9361660,-73.6474230
2012-09-03T09:31:48Z,27.2,42.9362470,-73.6472670
2012-09-03T09:31:50Z,27.2,42.9363290,-73.6471170
2012-09-03T09:31:52Z,27.3,42.9363990,-73.6469870
2012-09-03T09:31:54Z,27.4,42.9364630,-73.6468660
2012-09-03T09:31:56Z,27.5,42.9365250,-73.6467400
2012-09-03T09:31:58Z,27.6,42.9365820,-73.6466110
2012-09-03T09:32:00Z,27.6,42.9366360,-73.6464940
2012-09-03T09:32:02Z,27.6,42.9366960,-73.6463800
2012-09-03T09:32:04Z,27.6,42.9367550,-73.6462660
2012-09-03T09:32:06Z,27.5,42.9368120,-73.6461430
2012-09-03T09:32:08Z,27.4,42.9368690,-73.6460200
2012-09-03T09:32:10Z,27.3,42.9369270,-73.6458910
2012-09-03T09:32:13Z,27.3,42.9369960,-73.6457570
2012-09-03T09:32:14Z,27.3,42.9370590,-73.6456290
2012-09-03T09:32:16Z,27.3,42.9371200,-73.6454950
2012-09-03T09:32:18Z,27.3,42.9371800,-73.6453570
2012-09-03T09:32:20Z,27.3,42.9372430,-73.6452240
2012-09-03T09:32:22Z,27.3,42.9373070,-73.6450840
2012-09-03T09:32:24Z,27.3,42.9373670,-73.6449530
2012-09-03T09:32:26Z,27.3,42.9374190,-73.6448260
2012-09-03T09:32:28Z,27.3,42.9374650,-73.6446930
2012-09-03T09:32:30Z,27.1,42.9375120,-73.6445490
2012-09-03T09:32:32Z,26.5,42.9375530,-73.6444000
2012-09-03T09:32:34Z,25.7,42.9375900,-73.6442390
2012-09-03T09:32:36Z,25.3,42.9376230,-73.6440710
2012-09-03T09:32:38Z,25.2,42.9376590,-73.6439090
2012-09-03T09:32:40Z,25.2,42.9376830,-73.6437460
2012-09-03T09:32:42Z,25.2,42.9376960,-73.6435850
2012-09-03T09:32:44Z,25.2,42.9377090,-73.6434160
2012-09-03T09:32:46Z,25.1,42.9377240,-73.6432480
2012-09-03T09:32:48Z,25.1,42.9377390,-73.6430960
2012-09-03T09:32:50Z,25.1,42.9377510,-73.6429350
2012-09-03T09:32:52Z,25.1,42.9377620,-73.6427760
2012-09-03T09:32:54Z,24.9,42.9377710,-73.6426060
2012-09-03T09:32:56Z,24.8,42.9377840,-73.6424460
2012-09-03T09:32:58Z,24.8,42.9377950,-73.6422800
2012-09-03T09:33:00Z,24.9,42.9378100,-73.6421060
2012-09-03T09:33:02Z,25.1,42.9378340,-73.6419330
2012-09-03T09:33:04Z,25.1,42.9378640,-73.6417770
2012-09-03T09:33:06Z,25.1,42.9379000,-73.6416080
2012-09-03T09:33:08Z,25.1,42.9379390,-73.6414490
2012-09-03T09:33:10Z,25.1,42.9379800,-73.6412860
2012-09-03T09:33:12Z,25.1,42.9380150,-73.6411240
2012-09-03T09:33:14Z,25.1,42.9380480,-73.6409600
2012-09-03T09:33:16Z,25.1,42.9380850,-73.6407980
2012-09-03T09:33:18Z,25.1,42.9381250,-73.6406300
2012-09-03T09:33:20Z,25.1,42.9381620,-73.6404650
2012-09-03T09:33:22Z,25.1,42.9381970,-73.6402970
2012-09-03T09:33:24Z,25.1,42.9382320,-73.6401360
2012-09-03T09:33:26Z,25.1,42.9382700,-73.6399710
2012-09-03T09:33:28Z,25.1,42.9383050,-73.6398220
2012-09-03T09:33:30Z,25.1,42.9383380,-73.6396710
2012-09-03T09:33:32Z,25.1,42.9383680,-73.6395070
2012-09-03T09:33:34Z,25.1,42.9384000,-73.6393360
2012-09-03T09:33:36Z,25.2,42.9384320,-73.6391610
2012-09-03T09:33:38Z,25.2,42.9384640,-73.6389900
2012-09-03T09:33:40Z,25.2,42.9384930,-73.6388200
2012-09-03T09:33:42Z,25.2,42.9385230,-73.6386460
2012-09-03T09:33:44Z,25.3,42.9385510,-73.6384740
2012-09-03T09:33:46Z,25.2,42.9385800,-73.6383010
2012-09-03T09:33:48Z,25.2,42.9386090,-73.6381280
2012-09-03T09:33:50Z,25.3,42.9386360,-73.6379560
2012-09-03T09:33:52Z,25.3,42.9386630,-73.6377850
2012-09-03T09:33:54Z,25.3,42.9386920,-73.6376130
2012-09-03T09:33:56Z,25.3,42.9387210,-73.6374470
2012-09-03T09:33:58Z,25.3,42.9387500,-73.6372730
2012-09-03T09:34:00Z,25.3,42.9387850,-73.6371080
2012-09-03T09:34:02Z,25.4,42.9388230,-73.6369340
2012-09-03T09:34:04Z,26.2,42.9388650,-73.6367640
2012-09-03T09:34:06Z,27.1,42.9389050,-73.6366050
2012-09-03T09:34:08Z,27.2,42.9389490,-73.6364470
2012-09-03T09:34:10Z,27.3,42.9390020,-73.6362850
2012-09-03T09:34:12Z,27.2,42.9390480,-73.6361260
2012-09-03T09:34:14Z,27.2,42.9391020,-73.6359660
2012-09-03T09:34:16Z,27.3,42.9391620,-73.6357910
2012-09-03T09:34:18Z,27.3,42.9392320,-73.6356310
2012-09-03T09:34:20Z,27.3,42.9392890,-73.6354900
2012-09-03T09:34:22Z,27.3,42.9393380,-73.6353380
2012-09-03T09:34:24Z,27.3,42.9393960,-73.6351860
2012-09-03T09:34:26Z,27.3,42.9394620,-73.6350390
2012-09-03T09:34:28Z,27.2,42.9395270,-73.6348970
2012-09-03T09:34:30Z,26.2,42.9395980,-73.6347520
2012-09-03T09:34:32Z,25.3,42.9396650,-73.6346070
2012-09-03T09:34:34Z,25.4,42.9397360,-73.6344550
2012-09-03T09:34:36Z,26.3,42.9398090,-73.6343020
2012-09-03T09:34:38Z,25.5,42.9398850,-73.6341520
2012-09-03T09:34:40Z,25.1,42.9399630,-73.6340080
2012-09-03T09:34:42Z,25.1,42.9400410,-73.6338680
2012-09-03T09:34:44Z,25.1,42.9401200,-73.6337280
2012-09-03T09:34:46Z,25.1,42.9402000,-73.6335970
2012-09-03T09:34:48Z,25.1,42.9402890,-73.6334630
2012-09-03T09:34:50Z,25.1,42.9403790,-73.6333260
2012-09-03T09:34:52Z,25.2,42.9404680,-73.6331940
2012-09-03T09:34:54Z,25.2,42.9405620,-73.6330590
2012-09-03T09:34:56Z,25.2,42.9406510,-73.6329210
2012-09-03T09:34:58Z,25.4,42.9407400,-73.6327790
2012-09-03T09:35:00Z,25.9,42.9408270,-73.6326370
2012-09-03T09:35:02Z,27.0,42.9409110,-73.6325010
2012-09-03T09:35:04Z,27.5,42.9409960,-73.6323680
2012-09-03T09:35:06Z,27.9,42.9410830,-73.6322390
2012-09-03T09:35:08Z,28.1,42.9411670,-73.6321080
2012-09-03T09:35:10Z,28.1,42.9412470,-73.6319770
2012-09-03T09:35:12Z,27.6,42.9413230,-73.6318450
2012-09-03T09:35:14Z,26.1,42.9414020,-73.6317070
2012-09-03T09:35:16Z,26.0,42.9414790,-73.6315770
2012-09-03T09:35:19Z,26.9,42.9415540,-73.6314530
2012-09-03T09:35:20Z,27.3,42.9416270,-73.6313240
2012-09-03T09:35:22Z,27.5,42.9416950,-73.6312020
2012-09-03T09:35:24Z,28.8,42.9417650,-73.6310890
2012-09-03T09:35:26Z,30.2,42.9418360,-73.6309710
2012-09-03T09:35:28Z,31.0,42.9419070,-73.6308500
2012-09-03T09:35:30Z,31.6,42.9419770,-73.6307340
2012-09-03T09:35:32Z,32.1,42.9420460,-73.6306230
2012-09-03T09:35:34Z,32.7,42.9421140,-73.6305150
2012-09-03T09:35:36Z,33.3,42.9421810,-73.6304090
2012-09-03T09:35:38Z,33.7,42.9422480,-73.6303020
2012-09-03T09:35:40Z,34.0,42.9423120,-73.6301920
2012-09-03T09:35:42Z,34.2,42.9423760,-73.6300810
2012-09-03T09:35:44Z,34.3,42.9424380,-73.6299660
